EGID_chiff,EWID,ID,Belegungsjahr,Bauperiode,Quartiersgruppe,Quartiersgruppe Name,Wohnungsgroesse,Anz_Kinder,Anz_Erwachsene,HH_Typ,HH_Typ_label,Erstellungsjahr,Wechsel,Dichte,Ueberbelegung,WGM
0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55,1.0,0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55-1.0,2014,8022,13,Lachen,4,0,2,5,Haushalte mit zwei Erwachsenen,2014,False,0.5,False,4
0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55,1.0,0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55-1.0,2015,8022,13,Lachen,4,0,2,5,Haushalte mit zwei Erwachsenen,2014,False,0.5,False,4
0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55,1.0,0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55-1.0,2016,8022,13,Lachen,4,0,2,5,Haushalte mit zwei Erwachsenen,2014,False,0.5,False,4
0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55,1.0,0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55-1.0,2017,8022,13,Lachen,4,0,2,5,Haushalte mit zwei Erwachsenen,2014,False,0.5,False,4
0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55,1.0,0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55-1.0,2018,8022,13,Lachen,4,0,2,5,Haushalte mit zwei Erwachsenen,2014,False,0.5,False,4
0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55,1.0,0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55-1.0,2019,8022,13,Lachen,4,0,2,5,Haushalte mit zwei Erwachsenen,2014,False,0.5,False,4
0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186,2.0,0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186-2.0,2018,8023,13,Lachen,5,0,1,1,Einpersonenhaushalt,2016,False,0.2,False,5
0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186,2.0,0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186-2.0,2019,8023,13,Lachen,5,0,2,5,Haushalte mit zwei Erwachsenen,2016,True,0.4,False,5
0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186,3.0,0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186-3.0,2016,8023,13,Lachen,5,0,2,5,Haushalte mit zwei Erwachsenen,2016,False,0.4,False,5
0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186,3.0,0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186-3.0,2017,8023,13,Lachen,5,0,1,1,Einpersonenhaushalt,2016,True,0.2,False,5
