EGID_chiff;EWID;Belegungsjahr;Bauperiode;Quartiersgruppe;Quartiersgruppe Name;Wohnungsgroesse;Anz_Kinder;Anz_Erwachsene;HH_Typ;HH_Typ_label;Erstellungsjahr
0-163-57-186-165-159-122-82-174-60-177-232-38-131-201-129-169-201-125-110-121-214-251-28-230-248-180-10-220-135-250-55;1;2017;8022;13;Quartiergruppe Lachen;4;0;2;5;Haushalte mit zwei Erwachsenen;2014
0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186;2;2019;8023;13;Quartiergruppe Lachen;5;0;2;5;Haushalte mit zwei Erwachsenen;2016
0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186;3;2019;8023;13;Quartiergruppe Lachen;5;0;1;1;Einpersonenhaushalt;2016
0-179-129-113-45-253-25-61-23-233-133-131-62-71-68-217-77-244-172-42-203-241-217-213-42-66-171-62-116-168-48-186;4;2019;8023;13;Quartiergruppe Lachen;3;0;2;5;Haushalte mit zwei Erwachsenen;2016
101-71-97-225-239-65-32-208-5-226-231-118-63-236-226-147-205-139-153-196-240-143-232-32-89-139-79-131-63-202-224-218;1;2016;8022;13;Quartiergruppe Lachen;4;0;1;1;Einpersonenhaushalt;2013
101-71-97-225-239-65-32-208-5-226-231-118-63-236-226-147-205-139-153-196-240-143-232-32-89-139-79-131-63-202-224-218;1;2019;8022;13;Quartiergruppe Lachen;4;1;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2013
102-15-242-132-26-37-70-46-108-237-241-87-153-116-100-185-255-217-139-95-244-237-61-1-200-240-19-7-197-125-82-52;1;2013;8022;11;Quartiergruppe Winkeln;4;2;2;3;Zwei Erwachsene mit mindestens einer Person unter 18 Jahren;2011
102-15-242-132-26-37-70-46-108-237-241-87-153-116-100-185-255-217-139-95-244-237-61-1-200-240-19-7-197-125-82-52;1;2015;8022;11;Quartiergruppe Winkeln;4;1;3;4;Drei oder mehr Erwachsene mit mindestens einer Person unter 18 Jahren;2011
102-15-242-132-26-37-70-46-108-237-241-87-153-116-100-185-255-217-139-95-244-237-61-1-200-240-19-7-197-125-82-52;1;2017;8022;11;Quartiergruppe Winkeln;4;1;3;4;Drei oder mehr Erwachsene mit mindestens einer Person unter 18 Jahren;2011
102-15-242-132-26-37-70-46-108-237-241-87-153-116-100-185-255-217-139-95-244-237-61-1-200-240-19-7-197-125-82-52;1;2018;8022;11;Quartiergruppe Winkeln;4;0;4;6;Haushalte mit drei oder mehr Erwachsenen;2011
102-15-242-132-26-37-70-46-108-237-241-87-153-116-100-185-255-217-139-95-244-237-61-1-200-240-19-7-197-125-82-52;3;2018;8022;11;Quartiergruppe Winkeln;5;0;2;5;Haushalte mit zwei Erwachsenen;2011
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;2;2015;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;3;2012;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;4;2019;8022;35;Quartiergruppe Neudorf;2;0;1;1;Einpersonenhaushalt;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;5;2013;8022;35;Quartiergruppe Neudorf;2;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;6;2013;8022;35;Quartiergruppe Neudorf;3;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;6;2014;8022;35;Quartiergruppe Neudorf;3;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;8;2014;8022;35;Quartiergruppe Neudorf;3;0;2;5;Haushalte mit zwei Erwachsenen;2012
102-161-238-35-54-238-76-153-239-229-128-93-62-189-113-162-28-173-221-39-115-81-130-228-84-169-156-141-111-99-230-120;8;2015;8022;35;Quartiergruppe Neudorf;3;0;2;5;Haushalte mit zwei Erwachsenen;2012
